83 2193
41 33 74
25 27 83
79 23 58
74 10 99
26 38 42
30 47 93
33 21 85
58 54 82
25 31 65
6 44 94
13 59 75
80 75 38
69 45 19
82 43 20
45 65 45
23 6 8
61 62 36
68 27 80
19 22 38
52 43 2
44 72 72
43 32 62
31 12 82
16 33 93
81 44 38
18 21 27
67 42 40
33 9 67
56 17 99
21 17 17
35 2 52
13 45 41
63 44 76
62 7 53
69 76 70
4 20 44
65 18 24
49 74 6
64 25 31
17 48 80
33 52 37
69 40 66
38 0 86
49 48 58
66 74 87
45 26 92
7 15 54
23 18 24
14 8 40
70 3 76
12 74 55
52 67 24
56 14 79
40 20 78
3 79 75
17 13 37
51 19 99
59 42 55
17 26 24
15 39 89
78 51 51
20 19 59
65 21 23
33 3 79
1 22 69
32 6 50
25 18 68
20 29 13
80 61 55
13 26 70
28 15 49
70 0 28
43 17 76
82 16 86
14 37 84
31 4 37
7 42 36
78 0 73
82 7 77
25 10 80
51 8 26
32 27 33
52 71 99
16 60 34
58 63 4
24 34 60
65 63 68
37 54 60
25 1 6
58 15 56
36 68 38
54 65 47
27 17 3
9 64 15
2 5 90
19 57 15
50 9 16
45 28 44
43 36 58
55 46 42
44 30 7
78 4 63
72 14 98
2 62 57
4 1 66
11 65 83
3 28 70
26 38 90
73 36 60
2 37 65
4 66 11
45 31 46
74 25 47
28 8 65
60 9 91
73 74 3
70 54 26
66 64 18
52 21 60
73 48 78
41 30 49
14 15 43
62 17 61
66 79 91
18 4 79
81 65 12
13 26 61
61 26 20
75 9 48
44 52 75
0 79 58
64 10 38
61 54 61
64 30 84
33 72 69
9 66 70
74 55 45
32 64 63
27 4 8
14 30 21
70 5 74
69 81 20
75 79 21
6 47 0
60 43 48
62 55 42
8 79 97
70 49 51
68 50 57
20 1 82
3 10 54
54 41 66
13 17 51
42 46 39
53 63 53
12 63 32
23 19 79
68 81 31
0 17 61
17 51 31
21 1 88
33 5 53
32 36 20
76 1 28
12 40 0
20 64 21
32 50 76
20 80 32
48 60 17
16 38 14
14 82 55
19 12 11
36 67 25
82 6 86
23 64 64
44 58 70
75 27 25
59 73 60
17 22 83
21 81 95
81 12 56
28 72 72
56 42 40
81 22 60
10 14 24
12 43 44
57 6 12
7 24 33
65 77 49
26 33 56
58 13 31
27 28 11
4 21 29
60 2 70
81 17 30
42 11 82
71 80 53
61 47 40
17 78 17
4 62 35
57 49 91
48 0 7
24 18 37
50 23 50
69 0 85
28 60 49
63 62 41
5 68 39
30 5 26
40 66 36
14 28 2
49 21 33
6 44 88
74 23 94
54 20 19
25 74 45
49 2 50
14 3 58
24 19 18
17 29 16
38 8 29
7 11 86
59 18 40
4 34 72
29 18 54
38 82 5
13 39 87
10 37 57
41 39 98
1 42 7
80 31 41
3 41 19
15 40 60
45 72 27
38 56 5
77 44 73
50 28 82
29 4 18
60 40 75
63 62 60
50 14 24
1 12 81
70 5 12
51 4 42
63 31 83
75 56 5
11 28 11
35 6 58
10 33 74
38 39 86
22 63 18
67 23 24
11 51 95
69 58 98
9 45 37
0 58 29
36 53 56
62 60 44
38 14 96
28 25 86
72 67 77
67 6 99
66 30 94
23 46 52
73 15 5
77 73 28
21 17 68
9 66 45
74 60 96
55 60 77
0 68 50
6 8 96
17 60 54
4 16 86
71 15 95
23 62 73
32 80 25
45 64 11
67 34 48
46 59 77
34 76 10
30 29 11
55 1 56
42 26 28
67 61 43
33 13 2
82 60 56
66 7 89
58 67 66
68 32 19
47 12 49
78 58 20
3 49 78
70 2 32
34 0 47
66 77 6
3 23 2
50 9 74
60 62 57
75 41 84
52 30 71
43 61 25
56 6 66
19 67 6
