82 2070
74 76 93
75 17 89
7 60 55
28 6 97
0 76 1
16 48 36
77 78 99
77 75 96
9 23 80
2 55 60
38 48 48
7 3 77
79 77 73
48 11 96
12 35 55
68 30 8
3 50 55
75 4 34
9 37 7
51 64 66
4 26 50
79 18 36
22 33 92
54 74 40
46 40 66
11 40 82
70 76 3
19 35 85
67 4 68
78 26 47
57 39 86
81 51 75
18 3 18
35 14 70
1 47 63
5 72 37
17 59 99
24 41 74
32 48 35
75 43 54
6 10 20
80 72 86
46 57 33
73 80 78
33 9 77
58 15 39
56 8 56
34 56 52
20 44 87
9 76 30
51 46 81
60 10 90
40 13 29
16 10 11
70 55 55
1 31 55
5 55 46
51 67 74
38 67 3
68 9 7
59 9 46
69 28 0
20 44 37
46 55 72
32 0 6
47 17 44
30 10 86
23 35 91
26 19 37
50 7 93
74 80 0
73 12 33
4 22 35
19 61 31
18 23 36
65 33 83
13 42 69
5 73 48
49 30 43
41 5 32
20 32 94
64 53 22
47 33 18
9 45 78
51 13 52
42 43 68
8 50 71
59 27 45
22 46 15
42 7 17
47 72 51
6 18 76
57 52 45
1 37 0
33 20 29
68 34 78
42 59 82
57 26 55
78 20 9
27 48 93
63 25 39
0 45 15
25 33 79
27 52 65
65 77 95
41 42 42
24 48 49
66 6 38
79 10 31
67 74 81
57 20 63
22 72 63
50 47 86
20 30 20
23 57 50
19 56 70
55 58 93
37 62 67
35 77 28
71 70 30
79 46 57
9 45 34
44 2 90
47 13 87
61 49 4
57 81 77
56 41 57
34 41 66
2 16 98
75 55 79
12 13 34
46 17 69
56 69 11
4 80 70
73 17 9
16 21 2
5 59 34
34 33 52
40 75 49
35 74 56
11 6 73
10 12 24
28 46 22
40 47 98
11 35 13
62 2 56
35 26 90
74 58 1
40 73 70
77 40 0
20 78 97
10 78 89
17 9 27
34 13 56
54 34 64
57 56 20
34 55 36
2 49 7
62 76 25
25 67 43
34 78 53
45 3 75
22 7 16
25 73 26
76 28 32
73 5 24
17 5 62
53 75 7
18 81 15
71 55 78
37 52 99
24 56 3
17 11 71
26 50 31
10 80 6
69 57 73
2 63 17
45 13 19
4 45 49
37 44 27
1 27 18
69 6 46
37 1 12
45 63 59
81 41 31
44 13 60
15 40 76
17 30 43
59 1 95
61 64 21
54 14 61
2 10 58
31 3 21
21 66 31
36 67 76
54 76 88
49 64 6
4 18 70
56 55 2
51 32 49
53 65 40
44 60 19
1 64 13
59 78 94
9 53 85
55 71 93
72 54 69
81 28 99
6 66 43
75 37 16
39 31 36
76 69 85
25 62 89
16 6 71
11 71 32
28 47 96
32 27 43
10 31 93
51 50 50
28 75 25
46 28 28
14 26 29
0 57 33
66 79 51
17 12 96
61 44 36
53 46 53
57 32 8
56 5 70
35 15 72
1 69 21
23 27 47
6 19 31
81 67 19
15 16 35
41 68 81
9 5 68
76 60 81
22 67 21
2 79 77
24 56 2
22 65 39
6 32 99
60 66 85
70 29 92
1 36 38
10 65 41
10 44 23
37 51 40
39 52 68
13 29 48
46 19 28
55 71 3
28 59 33
2 41 9
21 62 77
79 48 31
6 20 89
5 1 87
46 65 0
7 6 98
48 3 70
2 65 3
64 11 46
24 27 0
1 43 19
8 1 2
30 0 56
73 72 47
7 71 81
2 39 16
3 7 11
21 50 3
61 1 21
54 79 53
38 75 57
3 25 42
58 41 66
36 51 75
2 73 1
20 29 46
15 4 12
22 6 43
6 21 82
28 22 61
8 15 67
57 32 17
72 49 45
31 37 98
18 70 75
35 34 28
65 40 10
25 71 44
38 78 32
40 66 32
61 54 94
10 1 33
4 10 2
74 77 69
34 51 11
42 61 42
42 45 67
63 29 1
32 42 84
75 74 47
36 44 22
62 27 90
5 33 91
2 41 3
14 0 29
6 67 10
35 56 37
58 54 36
32 38 65
32 71 66
58 51 22
54 42 81
16 50 65
45 27 33
62 20 27
78 19 72
17 23 17
24 28 9
19 42 61
44 27 72
40 25 34
54 44 76
76 62 46
33 34 32
28 64 93
49 73 13
31 12 19
19 61 66
79 5 80
48 35 15
74 40 81
6 11 40
40 15 1
68 56 43
7 70 41
77 14 84
46 63 25
27 33 26
30 20 57
59 25 51
36 70 48
16 67 34
67 70 0
50 67 11
23 71 12
23 28 25
17 59 54
32 62 10
50 54 16
54 22 13
51 27 65
39 8 20
77 62 12
39 21 67
46 49 71
38 41 10
79 23 35
68 54 42
79 27 66
22 77 42
30 36 20
11 5 48
58 20 98
43 53 26
45 18 42
10 13 24
55 32 38
11 60 31
28 30 91
51 65 7
57 2 55
74 2 19
23 74 24
33 57 10
37 56 80
54 21 80
3 21 20
50 47 77
64 22 7
28 46 93
35 21 47
28 52 57
39 68 22
41 73 62
56 51 2
50 46 65
78 57 45
54 70 79
38 75 80
44 54 87
59 2 58
40 5 82
29 72 15
26 60 99
17 45 26
52 79 35
25 46 49
37 75 64
1 79 94
2 58 31
42 44 7
72 48 49
9 8 43
42 2 32
20 30 82
41 78 7
31 55 51
7 64 10
13 23 33
55 53 69
74 66 6
65 62 34
32 48 2
56 81 60
54 31 48
28 1 94
37 73 23
24 61 98
62 4 24
3 64 23
41 56 9
61 70 21
27 20 70
79 30 14
24 38 97
64 6 91
46 53 74
57 38 25
31 2 52
60 16 27
3 36 90
79 41 49
63 38 77
